Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_norm
0.758095238095238,0.7576697038972745,0.02729819200407435,0.04777777777777781,-254000796.0,0,0.0
0.7638095238095238,0.7638095238095238,0.033027756557168275,0.05396825396825394,-248000802.0,0,0.3
0.758095238095238,0.7578976034858388,0.03491214667685261,0.060714285714285665,-254000796.0,0,0.6
0.7514285714285714,0.7504123364884323,0.04267888973771328,0.06817460317460322,-261000789.0,0,1.0
0.7409523809523809,0.7385812356979405,0.04693149987267642,0.07380952380952388,-272000778.0,0,1.5
0.7380952380952381,0.7340814967689175,0.042118665648077425,0.07960317460317456,-275000775.0,0,2.0
0.7771428571428571,0.7768189663002998,0.016638110936979866,0.04095238095238096,-234000816.0,1,0.0
0.78,0.7799950112247442,0.00020300281767904327,0.05142857142857149,-231000819.0,1,0.3
0.7790476190476191,0.7788903855440059,0.006211886220980789,0.06190476190476196,-232000818.0,1,0.6
0.7714285714285715,0.7705218987673748,0.023117960877296895,0.07904761904761914,-240000810.0,1,1.0
0.7666666666666667,0.7646582032054056,0.036110141208759994,0.09142857142857153,-245000805.0,1,1.5
0.7561904761904762,0.7527420974976176,0.04346696332145095,0.09619047619047616,-256000794.0,1,2.0
0.7409523809523809,0.7406804776709184,0.02328931572629045,0.04206255283178356,-272000778.0,2,0.0
0.7457142857142857,0.7457085194675617,0.03377350940376156,0.053564384333615156,-267000783.0,2,0.3
0.7409523809523809,0.7404542414284467,0.0527410964385755,0.07288813750352213,-272000778.0,2,0.6
0.7390476190476191,0.7372017143546141,0.05114045618247298,0.08330233868695414,-274000776.0,2,1.0
0.7333333333333333,0.7300384557465079,0.0482192877150861,0.09221752606367983,-280000770.0,2,1.5
0.72,0.7146327664814137,0.0456182472989195,0.09916032685263454,-294000756.0,2,2.0
0.7380952380952381,0.7376552603868074,0.003361344537815114,0.06155038759689918,-275000775.0,3,0.0
0.7457142857142857,0.7457085194675617,0.028851540616246507,0.07591362126245838,-267000783.0,3,0.3
0.741904761904762,0.7416795955476837,0.025210084033613356,0.08022148394241413,-271000779.0,3,0.6
0.7504761904761905,0.7495457044948853,0.04117647058823537,0.09724252491694352,-262000788.0,3,1.0
0.7514285714285714,0.7494631352899069,0.04537815126050426,0.10450719822812848,-261000789.0,3,1.5
0.7466666666666667,0.7434262743253572,0.04397759103641452,0.10782945736434102,-266000784.0,3,2.0
0.7685714285714286,0.7680241549451359,0.003676470588235281,0.03719833564493763,-243000807.0,4,0.0
0.7695238095238095,0.7694560578346834,0.012009803921568696,0.04654646324549233,-242000808.0,4,0.3
0.7676190476190476,0.7675777281040439,0.016421568627451033,0.06267221451687466,-244000806.0,4,0.6
0.7657142857142857,0.7650459720347401,0.030637254901960786,0.0770411465557097,-246000804.0,4,1.0
0.7552380952380953,0.7534668580340022,0.035539215686274495,0.07473878871937123,-257000793.0,4,1.5
0.7466666666666667,0.7434262743253572,0.03431372549019607,0.08207119741100322,-266000784.0,4,2.0
0.7638095238095238,0.7634997674959312,0.02066305974444571,0.057413650179607645,-248000802.0,5,0.0
0.7723809523809524,0.7723642281201613,0.033440773569701765,0.06542507138251819,-239000811.0,5,0.3
0.7685714285714286,0.7681826482690699,0.04178657764475657,0.08039789997236807,-243000807.0,5,0.6
0.7619047619047619,0.7607162650953854,0.04426154023253137,0.08671087777470754,-250000800.0,5,1.0
0.758095238095238,0.7556985354736352,0.03608840796592605,0.0843345307175094,-254000796.0,5,1.5
0.7476190476190476,0.7438720289845734,0.03942672959594795,0.09656811273832544,-265000785.0,5,2.0
0.7542857142857143,0.7542286462888435,0.03856209150326795,0.06625452520189357,-258000792.0,6,0.0
0.7523809523809524,0.7522910806641865,0.028244631185807556,0.06705653021442493,-260000790.0,6,0.3
0.7504761904761905,0.7498627018101538,0.04575163398692805,0.0794653299916458,-262000788.0,6,0.6
0.741904761904762,0.7405092784689729,0.04953314659197017,0.08684489000278472,-271000779.0,6,1.0
0.7438095238095238,0.7410186325380358,0.04318394024276373,0.09340573656363127,-269000781.0,6,1.5
0.7371428571428571,0.7326578130708005,0.046918767507002856,0.09693121693121687,-276000774.0,6,2.0
0.7638095238095238,0.7634997674959312,0.009308929051072501,0.03904761904761905,-248000802.0,7,0.0
0.7704761904761904,0.770474316797144,0.01724415793714751,0.053333333333333344,-241000809.0,7,0.3
0.7723809523809524,0.7722303455073695,0.02317639384520931,0.06285714285714294,-239000811.0,7,0.6
0.7685714285714286,0.7677876988912238,0.03695944131077089,0.07428571428571429,-243000807.0,7,1.0
0.7561904761904762,0.7540479606476737,0.029162349871455495,0.06571428571428573,-256000794.0,7,1.5
0.7457142857142857,0.7419389876938909,0.027236099919419776,0.0647619047619048,-267000783.0,7,2.0
0.7409523809523809,0.7404542414284467,0.00312790734978019,0.029489997182304883,-272000778.0,8,0.0
0.7476190476190476,0.7476078301892783,0.005140996438997791,0.03968441814595658,-265000785.0,8,0.3
0.7504761904761905,0.7502142836388994,0.011268486734464678,0.053891236968160006,-262000788.0,8,0.6
0.7466666666666667,0.7454698555384229,0.023082352186327038,0.07095519864750632,-266000784.0,8,1.0
0.7409523809523809,0.738285144566301,0.024373616502518458,0.07604959143420675,-272000778.0,8,1.5
0.7285714285714285,0.7247949411930243,0.02865644348914065,0.08155536770921379,-285000765.0,8,2.0
0.76,0.7598039215686274,0.03865546218487392,0.062419309570586556,-252000798.0,9,0.0
0.7590476190476191,0.7590421551509104,0.03525410164065623,0.06641407053980719,-253000797.0,9,0.3
0.7638095238095238,0.7634310134310134,0.04785914365746291,0.0861857984844232,-248000802.0,9,0.6
0.7542857142857143,0.7531248974771169,0.03889555822328927,0.08904855458882965,-258000792.0,9,1.0
0.7495238095238095,0.7471846078775134,0.04201680672268904,0.0889344185611376,-263000787.0,9,1.5
0.7390476190476191,0.7354764917029539,0.039575830332132855,0.09054542052577408,-274000776.0,9,2.0
